What's What's	ಆರಾಮಾ?
You have to tell Tom.	ನೀವು ನೀವು ಹೇಳಲೇಬೇಕು.
You let me me Tom.	ನೀನು ನನ್ನನು ನೀನು ಮಾಡುತ್ತೀಯ.
Did Tom Did hurt you?	ಟಾಮ್ ಯಾವಾಗಲಾದರೂ ಯಾವಾಗಲಾದರೂ ನೋಯಿಸಿದ್ದಾನಾ?
I a Tom a huge hug.	ನಾನು ಟೊಮನ್ನು ನಾನು ತಬ್ಬಿಕೊಂಡೆ.
That's all needed. needed.	ಅದಷ್ಟೇ ಟಾಮಿಗೆ ಬೇಕಾಗಿದ್ದು.
be must be getting home.	ಹೊರಡುತ್ತಾ ಮನೆಗೆ ಹೊರಡುತ್ತಾ ಇರಬೇಕು.
I think that went I	ನಡೆಯಿತು ನಡೆಯಿತು ಅಂತ ಅನಿಸುತ್ತೆ.
Let's greet our greet	ನಮ್ಮ ಸ್ವಾಗತಿಸೋಣ. ಸ್ವಾಗತಿಸೋಣ.
is is no excuse.	ಮೂರ್ಖತನಕ್ಕೆ ಯಾವ ಕ್ಷಮೆಯು ಇಲ್ಲ.
You need to stay stay	ನೀವು ಎಚ್ಚರವಾಗಿರಬೇಕು.
a a lot of vegetables.	ಬಹಳ ತರಕಾರಿಗಳು ಬಹಳ
I had to get some get	ದುಡ್ಡನ್ನು ಸ್ವಲ್ಪ ದುಡ್ಡನ್ನು ತೆಗೆದುಕೊಂಡು ಬರಬೇಕಾಗಿತ್ತು.
I only to to help you.	ನಿಮ್ಮನ್ನು ಸಹಾಯ ಮಾಡುವುದಕ್ಕೆ ಆಶಿಸುತ್ತೇನೆ.
Why are you thanking thanking	ನೀವು ಯಾಕೆ ನನಗೆ ಧನ್ಯವಾದ ನನಗೆ
He swam swam the river.	ಅವನು ಈಜಿದನು. ಅಡ್ಡಲಾಗಿ ಈಜಿದನು.
How did it go last night?	ನೆನ್ನೆ ರಾತ್ರಿ ನಡೆಯಿತು? ನಡೆಯಿತು?
I've never been Paris. Paris.	ನಾನು ಹೋಗಿಲ್ಲ. ಎಂದಿಗೂ ಹೋಗಿಲ್ಲ.
had had almost forgotten.	ಟಾಮ್ ಮರೆತುಬಿಟ್ಟಿದ್ದನು. ಮರೆತುಬಿಟ್ಟಿದ್ದನು.
Tom real a real competitor.	ಟಾಮ್ ಒಬ್ಬ ಒಳ್ಳೆಯ ಟಾಮ್
Tom is ready for now. now.	ಟಾಮ್ ತಯಾರಾಗಿದ್ದಾನೆ. ನಿಮಗೆ ತಯಾರಾಗಿದ್ದಾನೆ.
three left three hours ago.	ಟಾಮ್ ಮೂರು ಗಂಟೆಯ ಮುಂಚೇನೇ ಮುಂಚೇನೇ
Tom told Mary to go home.	ಟಾಮ್ ಮೇರಿಗೆ ಮನೆಗೆ ಹೋಗುವುದಕ್ಕೆ ಟಾಮ್
You are You love with him.	ನೀನು ಅವನನ್ನು ಪ್ರೀತಿಸುತ್ತಿದ್ದೀಯ.
agrees agrees with my opinion.	ನನ್ನ ನನ್ನ ಅಭಿಪ್ರಾಯವನ್ನು ಸಮ್ಮತಿಸುತ್ತಾನೆ.
He goes abroad every abroad	ಪ್ರತಿವರ್ಷ ಪ್ರತಿವರ್ಷ ವಿದೇಶಕ್ಕೆ ಹೋಗುತ್ತಾನೆ.
How did you that that scar?	ಆ ಆ ಹೇಗೆ ಸಿಕ್ಕಿತು?
that. always believed that.	ನಾನು ಎಂದಿಗೂ ಅದನ್ನೇ ನಂಬಿದ್ದೇನೆ.
Last night, I read a book.	ನೆನ್ನೆ ರಾತ್ರಿ ನಾನು ರಾತ್ರಿ ಪುಸ್ತಕವನ್ನು ಓದಿದೆ.
One of will will have to go.	ನಮ್ಮಲ್ಲಿ ಒಬ್ಬರು ಹೋಗಲೇ ಒಬ್ಬರು
The war is still war on.	ಯುದ್ಧ ಇನ್ನೂ ಇನ್ನೂ
Tom doesn't eat meat. meat.	ಟಾಮ್ ಮಾಂಸ ಮಾಂಸ ತಿನ್ನುವುದಿಲ್ಲ.
We We caught in a storm.	ನಾವು ಬಿರುಗಾಳಿಯಿಂದ ಸಿಕ್ಕಿಹಾಕಿಕೊಳ್ಳಿದ್ದೆವಿ.
What team do you team for?	ನೀವು ತಂಡಕ್ಕೆ ತಂಡಕ್ಕೆ ಆಟ ಆಡುತ್ತೀರಾ?
You shouldn't be here now.	ನೀವು ಇಲ್ಲಿ ಇರಬಾರದು. ಇರಬಾರದು.
He work. an accident at work.	ಕೆಲಸದಲ್ಲಿ ಅವನಿಗೆ ಅಪಘಾತವಾಯಿತು.
I loved going to the beach.	ದಡಕ್ಕೆ ದಡಕ್ಕೆ ಹೋಗಲು ಇಷ್ಟಪಡುತ್ತಿದೆ.
It looks like we got got	ನಮಗೆ ಅದೃಷ್ಟ ಸಿಕ್ಕಿತು ಸಿಕ್ಕಿತು ಅನಿಸುತ್ತೆ.
why why he lost his job.	ಅವನು ಅವನು ಅವನ ಕೆಲಸ ಕಳೆದುಕೊಂಡ.
This is This horrible tragedy.	ಇದು ಭಯಾನಕವಾದ ದುರಂತ.
We'll think of another way.	ಬೇರೆ ಯೋಚನೆ ಯೋಚನೆ ಮಾಡೋಣ.
What do you think about about	ನಿಮಗೆ ಏನು ಏನು
I really owe you an really	ನಿಜವಾಗಿಯೂ ನಾನು ಕೋರಬೇಕು. ಕ್ಷಮೆ ಕೋರಬೇಕು.
I suggest try. don't even try.	ನಾವು ಪ್ರಯತ್ನಿಸದೇ ಬೇಡ ಅಂತ ಬೇಡ
page your book on page nine.	ನಿಮ್ಮ ಪುಸ್ತಕವನ್ನು ನಿಮ್ಮ ಪುಟಕ್ಕೆ ತೆರೆಯಿರಿ.
She brought up two children.	ಅವಳು ಎರಡು ಮಕ್ಕಳನ್ನು ಸಾಕಿದಳು.
knew knew who the killer was.	ಟಾಮಿಗೆ ಯಾರು ಕೊಲೆಗಾರ ಯಾರು ಗೊತ್ತಿತ್ತು.
Where can find find the truth?	ನಾವು ಎಲ್ಲಿ ಎಲ್ಲಿ ಕಂಡುಹಿಡಿಯಬಹುದು?
Have you ever you raw fish?	ನೀವು ಯಾವಾಗಲಾದರೂ ಕಚ್ಚಾ ಮೀನು ನೀವು
I'm I'm better every day.	ಪ್ರತಿದಿನ ನಾನು ಸುಧಾರಿಸುತ್ತಿದ್ದೇನೆ.
Let's get it get this time.	ಈ ಸಲ ನಾವು ಸರಿಯಾಗಿ ಮಾಡೋಣ.
She got married in her her	ಅವಳು ಹದಿವಯಸ್ಸಿನಲ್ಲಿ ಮದುವೆಯಾಗಿದಳು.
That's not really a really	ಅದು ಇಲ್ಲ. ಇಲ್ಲವೇ ಇಲ್ಲ.
Does Tom have a crush Does Mary?	ಟಾಮ್ ಮೇರಿ ಮೇಲೆ ಪ್ರೀತಿ ಇದ್ಯಾ?
a can recommend a good lawyer.	ನಾನು ವಕೀಲರನ್ನು ಒಳ್ಳೆಯ ವಕೀಲರನ್ನು ಸೊಚಿಸಬಹುದು.
I'd like to see agreement. agreement.	ಒಪ್ಪ೦ದವನ್ನು ನಾನು ನಾನು ಇಷ್ಟಪಡುತ್ತೇನೆ.
She has something in in hand.	ಅವಳು ಅವಳ ಕೈಯಲ್ಲಿ ಇಟ್ಟುಕೊಂಡಿದ್ದಾಳೆ. ಇಟ್ಟುಕೊಂಡಿದ್ದಾಳೆ.
There's bucket. in the bucket.	ಬಾದಲಿಯಲ್ಲಿ ಏನೂ ಇಲ್ಲ.
This This looks like a pigsty.	ಈ ಈ ಹಂದಿಮನೆ ತರಹ ಇದೆ.
We should call off the call	ನಾವು ನಾವು ರದ್ಧುಗೊಳಿಸಬೇಕು.
Give my to to your family.	ನಿಮ್ಮ ಕುಟುಂಬಕ್ಕೆ ನನ್ನ ಕುಟುಂಬಕ್ಕೆ ಶುಭಾಕಾಂಕ್ಷೆಗಳನ್ನು ನೀಡಿ.
I don't know what came know me.	ನನಗೆ ಏನಾಯಿತು ಅಂತ ನನಗೆ ಗೊತ್ತಿಲ್ಲ.
Do Do think it means something?	ಅದಕ್ಕೆ ಅರ್ಥ ಇದೆ ಎಂದು ನಿಮಗೆ ಇದೆ
I'm glad you guys could it. it.	ನೀವೆಲ್ಲ ಬಂದಿದ್ದು ನನಗೆ ತುಂಬಾ ನೀವೆಲ್ಲ
concert. sorry I missed your concert.	ನಿಮ್ಮ ನಿಮ್ಮ ಕಛೇರಿಗೆ ಬರುವದಕ್ಕೆ ಆಗಲಿಲ್ಲ.
Some animals are afraid afraid fire.	ಕೆಲವೊಂದು ಪ್ರಾಣಿಗಳು ಬೆಂಕಿಗೆ ಹೆದರುತ್ತವೆ.
you us what you know about Tom.	ಟಾಮ್ ಬಗ್ಗೆ ಏನೆಲ್ಲಾ ಗೊತ್ತೋ ನಮಗೆ ಹೇಳಿ.
Tom stared sadly Tom the window.	ಟಾಮ್ ಕಿಟಕಿಯ ಹೊರಗೆ ದುಃಖದಿಂದ ಟಾಮ್
Can solution? suggest another solution?	ಇನ್ನೊಂದು ಪರಿಹಾರವನ್ನು ಸುಚಿಸುತ್ತೀರಾ?
Don't forget to put out the fire.	ಬೆಂಕಿಯನ್ನು ನಂದಿಸುವುದಕ್ಕೆ ಬೆಂಕಿಯನ್ನು
I have have money to buy a car.	ನನಗೆ ಕಾರನ್ನು ಹಣವಿದೆ. ಸಾಕಷ್ಟು ಹಣವಿದೆ.
I wondered the same thing myself.	ಅದೇ ಪ್ರಶ್ನೆ ನನ್ನನ್ನೇ ಕೇಳಿದೆ.
Do you want to leave like like that?	ನಿಮಗೆ ಅದನ್ನು ಹಂಗೇ ಹಂಗೇ
He arrived at the station at at	ಅವನು ಠಾಣೆಗೆ ಐದು ಗಂಟೆಗೆ ಐದು
I thought the food too too greasy.	ಆಹಾರಕ್ಕೆ ತುಂಬಾ ಎಣ್ಣೆ ಇತ್ತು ಅಂತ ಆಹಾರಕ್ಕೆ
It's my fault that you were It's	ನಿನ್ನನ್ನು ಕೆಲಸದಿಂದ ತೆಗೆದಿರುವುದಕ್ಕೆ ನಾನೇ ಕರಣ ಮತ್ತು ನಂದೇ ತೆಗೆದಿರುವುದಕ್ಕೆ
Put it back where you where it from.	ಇದನ್ನು ಎಲ್ಲಿ ಸಿಕ್ಕಿತ್ತೋ ಅಲ್ಲೇ ಅಲ್ಲೇ
She treats baby. as if I were a baby.	ನನ್ನನ್ನು ಎಳೆಮಗು ತರಹ ಪರಿಗಣಿಸುತ್ತಾಳೆ.
The accident caused a traffic traffic	ಅಪಘಾತದ ಕಾರಣದಿಂದ ಸಂಚಾರ ಸ್ತಂಭನ ಕಾರಣದಿಂದ
These glasses, Tom's glasses, not mine.	ಇದು ಟಾಮಿನ ಇದು ನನ್ನದಿಲ್ಲ.
To honest, honest, I really don't know.	ಪ್ರಾಮಾಣಿಕವಾಗಿ ಪ್ರಾಮಾಣಿಕವಾಗಿ ನಾನು ಗೊತ್ತಿಲ್ಲ
Tom won't be killing anybody else.	ಬೇರೆಯಾರನ್ನೂ ಬೇರೆಯಾರನ್ನೂ ಕೊಲ್ಲಲ್ಲ.
Would you mind my moving your your	ನಿಮಗೆ ತೊಂದರೆ ಇಲ್ಲವೆಂದರೆ ನಿಮ್ಮ ಕಾರನ್ನು ಜರಗಿಸುತ್ತೀರಾ?
Are you finished reading you paper?	ನೀವು ಪತ್ರಿಕೆಯನ್ನು ನೀವು ಮುಗಿಸಿದ್ದೀರಾ?
daughter bought his daughter a new dress.	ಮಗಳಿಗೆ ಅವನ ಮಗಳಿಗೆ ಹೊಸ ಬಟ್ಟೆಯನ್ನು ಖರೀದಿಸಿದನು.
Isn't that what should should be doing?	ಅದೇ ನಾವು ಮಾಡ್ಬೇಕು ಮಾಡ್ಬೇಕು
You can't be in can't places at once.	ನಿಮಗೆ ಒಂದೇ ಬಾರಿ ಒಂದೇ ಜಾಗದಲ್ಲಿ ಇರುವುದಕ್ಕೆ ಆಗಲ್ಲ.
Are you before? we've never met before?	ನಾವು ಮುಂಚೆ ಖಚಿತವಾಗಿ ಭೇಟಿಯಾಗಿಲ್ಲವೆಂದು ಖಚಿತವಾಗಿ ಹೇಳುತ್ತೀರಾ?
Tom's you know what Tom's last name is?	ಟಮಿನ ಉಪನಾಮ ಏನು ಅಂತ ನಿಮಗೆ ಗೊತ್ತ?
I didn't that that Tom spoke French.	ನನಗೆ ಟಾಮ್ ಫ್ರೆಂಚ್ ಮಾತಾಡುತ್ತಾನೆ ಅಂತ ಮಾತಾಡುತ್ತಾನೆ ಇರಲಿಲ್ಲ.
I just to to say that I was wrong.	ನಾನು ತಪ್ಪು ಮಾಡಿದೆ ಎಂದು ತಪ್ಪು
I no longer feel that way longer you.	ನಾನು ನಿನನ್ನು ಇನ್ನು ಮುಂದೆ ಅದೇ ಮುಂದೆ ಭಾವಿಸುವುದಿಲ್ಲ.
do hope we never have to do that.	ಅದನ್ನು ಎಂದಿಗೂ ಮಾಡಬೇಡವೆಂದು ಮಾಡಬೇಡವೆಂದು
The couple posed for the for	ಇಬ್ಬರು ಇಬ್ಬರು ಫೋಟೋಗೆ ನಿಲ್ಲಿದರು.
possibly could possibly have gone wrong?	ತಪ್ಪು ಹೇಗೆ ಹೇಗೆ ಸಾಧ್ಯ?
When does Tom usually go to Tom gym?	ಟಾಮ್ ಸಾಮಾನ್ಯವಾಗಿ ಯಾವಾಗ ಜಿಮ್ಮಿಗೆ ಹೋಗುತ್ತಾನೆ?
this can tell this is difficult for you.	ಇದು ನಿಮಗೆ ಕಷ್ಟವಿದೆ ಎಂದು ನನಗೆ ತಿಳಿದು ತಿಳಿದು
I made sure that no one was one	ಯಾರೂ ನೋಡುತ್ತಿರಲಿಲ್ಲವೆಂದು ನಾನು ನೋಡುತ್ತಿರಲಿಲ್ಲವೆಂದು
It cost It as much as we expected.	ನಾವು ಎಷ್ಟು ನಿರೀಕ್ಷಿಸುತ್ತಾ ಇದ್ದವೋ ಅದಕ್ಕಿಂತ ಎರಡರಷ್ಟು ಬೆಲೆ ನಿರೀಕ್ಷಿಸುತ್ತಾ
She whatever to get whatever she wanted.	ಏನೆಲ್ಲಾ ಅವಳಿಗೆ ಏನೆಲ್ಲಾ ಅದನ್ನು ಖರೀದಿಸುವುದಕ್ಕೆ ಪ್ರಯತ್ನಿಸಿದಳು.
She will be relocated to New Zealand.	ಅವಳನ್ನು ನ್ಯೂ ನ್ಯೂ ಸ್ಥಳಾಂತರಿಸುತ್ತಾರೆ.
The The of the accident is unknown.	ಗೊತ್ತಿಲ್ಲ. ಕಾರಣವೇ ಗೊತ್ತಿಲ್ಲ.
The more got more and more exciting.	ಆ ಕಥೆ ಅದ್ಭುತವಾಯಿತು. ಹೆಚ್ಚು ಅದ್ಭುತವಾಯಿತು.
They They announced their engagement.	ಅವರು ಅವರ ನಿಶ್ಚಿತಾರ್ಥದವನ್ನು ಅವರ
I don't know how I don't ever thank you.	ನಿಮಗೆ ಹೇಗೆ ಧನ್ಯವಾದ ಹೇಳಕ್ಕೆ ಹೇಗೆ ಇಲ್ಲ.
Maybe Tom doesn't tell tell everything.	ಬಹುಷಃ ಟಾಮ್ ನಿನಗೆ ಎಲ್ಲದರ ಟಾಮ್ ಹೇಳಲ್ಲ.
She was very bored bored the lecture.	ನಡೆಯುತ್ತಿರುವಾಗ ನಡೆಯುತ್ತಿರುವಾಗ ನನಗೆ ತುಂಬಾ ಬೇಸರವಾಗಿತ್ತು.
They failed to fulfill the to	ಆಗಲಿಲ್ಲ. ನಿಯಮಗಳನ್ನು ನೇರವೇರಿಸುವುದಕ್ಕೆ ಆಗಲಿಲ್ಲ.
You don't don't I can do this, do you?	ನೀನು ಇದನ್ನು ಮಾಡಕ್ಕೆ ಆಗುವುದಿಲ್ಲವೆಂದು ಮಾಡಕ್ಕೆ ಅಲ್ವ?
He couldn't keep his keep any longer.	ಜಾಸ್ತಿ ಹೊತ್ತು ಅವನಿಗೆ ಅವನ ಕೋಪ ತಡೆಯುವುದಕ್ಕೆ ಜಾಸ್ತಿ
Tom promised to help me, he he didn't.	ಟಾಮ್ ಸಹಾಯ ಟಾಮ್ ನನಗೆ ಭರವಸೆ ಕೊಟ್ಟನು ಆದರೆ ಕೊಡಲಿಲ್ಲ.
It very likely is going is be dangerous.	ಅಪಾಯ ಇರುವುದಕ್ಕೆ ಬಹಳ ಬಹಳ ಇದೆ.
Brazil declared war on Argentina in war	ಅರ್ಜೆಂಟೀನದ ಅರ್ಜೆಂಟೀನದ ಮೇಲೆ ಯುದ್ಧವನ್ನು ಪ್ರಕಟಿಸಿದರು.
A great deal has happened since that time.	ನಡೆದಿವೆ. ಬಹಳಷ್ಟು ಘಟನೆಗಳು ನಡೆದಿವೆ.
Where can dollars be be for pounds?	ಎಲ್ಲಿ ಡಾಲರ್ಗಳನ್ನು ಡಾಲರ್ಗಳನ್ನು ಬದಲಾಯಿಸಬಹುದು?
A few firefighters suffered minor injuries.	ಅಗ್ನಿಶಾಮಕರು ಅಗ್ನಿಶಾಮಕರು ಗಾಯ ಪಟ್ಟರು.
I up gotten up earlier this morning.	ನಾನು ಇವತ್ತು ಬೆಳಿಗ್ಗೆ ಬೇಗ ಏಳಬೇಕಾಗಿತ್ತು.
in father and my brother work in this factory.	ನನ್ನ ತಂದೆ ತಂದೆ ನನ್ನ ಅಣ್ಣ ಈ ಕಾರ್ಖಾನೆಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾರೆ.
You have to tell me exactly what I need to do.	ಹೇಳಬೇಕು. ಏನನ್ನು ಮಾಡಬೇಕೆಂದು ಸರಿಯಾಗಿ ನೀವು ಹೇಳಬೇಕು.
I'll let you know if I let anything interesting.	ಏನೋ ನಾನು ನಾನು ನಿನಗೆ ತಿಳಿಸುತ್ತೇನೆ.
programs are many new programs to watch this spring.	ಕಾರ್ಯಕ್ರಮಗಳು ವಸಂತಕಾಲದಲ್ಲಿ ನೋಡುವುದಕ್ಕೆ ಹಲವರು ಕಾರ್ಯಕ್ರಮಗಳು ಇವೆ.
He took charge of the firm charge his father's death.	ಅವನ ತಂದೆಯ ತಂದೆಯ ಅವನು ಸಂಸ್ಥೆಯ ಅಧಿಕಾರ ವಹಿಸಿಕೊಂಡಿದನು.
His trip will keep him away from the office week. a week.	ಅವನ ಅವನ ಅವನನ್ನು ಆಫೀಸಿನಿಂದ ದೂರ ಇಡತ್ತೆ.
In order to stay awake I may have to drink more to	ಎಚ್ಚರವಾಗಿರಲು ನಾನು ಇನ್ನು ಸ್ವಲ್ಪ ಅಂತ ಕುಡಿಯಬೇಕು ಅಂತ ಅನಿಸುತ್ತೆ.
They of sight of the man among the crowd of people.	ಅವರು ಜನಸಮೊಹದ ನಡುವೆ ಕಂಡಿದರು. ಕಂಡಿದರು.
The only time you you to me is when you need some money.	ಯಾವಾಗ ನಿನಗೆ ದುಡ್ಡು ನನ್ನ ಮಾತ್ರ ನೀನು ನನ್ನ ಜೊತೆ ಮಾತನಾಡುತ್ತೇಯ.
Go to the wine cellar and get a couple of bottles of wine.	ನೆಲಮಾಳಿಗೆಗೆ ನೆಲಮಾಳಿಗೆಗೆ ಹೋಗಿ ಎರಡು ಬಾಟಲಿ ವೈನು ತೆಗೆದುಕೊಂಡು ಬನ್ನಿ.
It was because he was he that he decided to return home.	ಅವನಿಗೆ ಹುಷಾರು ಇರಲಿಲ್ಲ ಅಂತ ಅಂತ ಮನಗೆ ವಾಪಸ್ಸು ಬರವುದಕ್ಕೆ ನಿರ್ದರಿಸಿದ.
Both my and and I went to the museum for the first time.	ನಾನು ಮತ್ತು ನನ್ನ ಮೊದಲ ಮೊದಲ ಬಾರಿಗೆ ಸಂಗ್ರಾಲಯಕ್ಕೆ ಹೋದ್ವಿ.
You would've gotten away with you. if Tom hadn't told on you.	ಒಂದು ವೇಳೆ ಟಾಮ್ ನಿನ್ನ ಬಗ್ಗೆ ಬಗ್ಗೆ ತಪ್ಪಿಸಿಕೊಳ್ಳಬಹುದಾಗಿತ್ತು.
Any time you want to want my car, all you have to do is ask.	ಯಾವಾಗಲಾದರು ನೀವು ನನ್ನ ಕಾರನ್ನು ಬರಿ ಬರಿ ಕೇಳಿ.
I you Tom was the one who taught you how to play the guitar.	ಟಾಮ್ ಮರೆತುಹೋಯಿತು. ಗಿಟಾರ್ ಭಾರಿಸುವುದಕ್ಕೆ ಹೇಳಿಕೊಟ್ಟನೆಂದು ನನಗೆ ಮರೆತುಹೋಯಿತು.
