What's up?	ಆರಾಮಾ?
He had He accident at work.	ಕೆಲಸದಲ್ಲಿ ಅವನಿಗೆ ಕೆಲಸದಲ್ಲಿ
I loved beach. to the beach.	ನಾನು ದಡಕ್ಕೆ ಹೋಗಲು ಇಷ್ಟಪಡುತ್ತಿದೆ.
It looks like looks got lucky.	ನಮಗೆ ಅದೃಷ್ಟ ಸಿಕ್ಕಿತು ನಮಗೆ ಅನಿಸುತ್ತೆ.
That's why he lost his job.	ಅದಕ್ಕೇನೇ ಅವನು ಅವನ ಕೆಲಸ ಅವನ
This is is horrible tragedy.	ದುರಂತ. ಭಯಾನಕವಾದ ದುರಂತ.
We'll think of another way.	ಯೋಚನೆ ರೀತಿಯಲ್ಲಿ ಯೋಚನೆ ಮಾಡೋಣ.
What do it? think about it?	ಏನು ಏನು ಅನ್ನಿಸುತ್ತೆ
I really owe you I apology.	ನಿಜವಾಗಿಯೂ ನಾನು ನಿಮಗೆ ಕ್ಷಮೆ ನಿಜವಾಗಿಯೂ
don't suggest we don't even try.	ನಾವು ಪ್ರಯತ್ನಿಸದೇ ಬೇಡ ಅಂತ ಸೂಚಿಸುತ್ತೇನೆ.
Open your nine. on page nine.	ನಿಮ್ಮ ತೆರೆಯಿರಿ. ಒಂಬತ್ತನೆಯ ಪುಟಕ್ಕೆ ತೆರೆಯಿರಿ.
She brought up two children.	ಅವಳು ಅವಳು ಮಕ್ಕಳನ್ನು ಸಾಕಿದಳು.
Tom knew who the killer killer	ಟಾಮಿಗೆ ಕೊಲೆಗಾರ ಕೊಲೆಗಾರ ಅಂತ ಗೊತ್ತಿತ್ತು.
can can we find the truth?	ನಾವು ಸತ್ಯವನ್ನು ಎಲ್ಲಿ ನಾವು
Have you ever raw raw fish?	ನೀವು ಯಾವಾಗಲಾದರೂ ಕಚ್ಚಾ ತಿಂದಿದ್ದೀರಾ? ತಿಂದಿದ್ದೀರಾ?
better getting better every day.	ಪ್ರತಿದಿನ ಸುಧಾರಿಸುತ್ತಿದ್ದೇನೆ. ಸುಧಾರಿಸುತ್ತಿದ್ದೇನೆ.
Let's get it right get time.	ಈ ಸರಿಯಾಗಿ ನಾವು ಸರಿಯಾಗಿ ಮಾಡೋಣ.
She She married in her teens.	ಮದುವೆಯಾಗಿದಳು. ಹದಿವಯಸ್ಸಿನಲ್ಲಿ ಮದುವೆಯಾಗಿದಳು.
That's solution. really a solution.	ಅದು ಅದು ಇಲ್ಲವೇ ಇಲ್ಲ.
Does Tom a a crush on Mary?	ಮೇಲೆ ಮೇರಿ ಮೇಲೆ ಪ್ರೀತಿ ಇದ್ಯಾ?
I can good a good lawyer.	ನಾನು ನಿಮಗೆ ಒಳ್ಳೆಯ ವಕೀಲರನ್ನು ಸೊಚಿಸಬಹುದು.
I'd like to the the agreement.	ಒಪ್ಪ೦ದವನ್ನು ನೋಡುವುದಕ್ಕೆ ನಾನು ನಾನು
She has She in her hand.	ಅವಳು ಅವಳ ಕೈಯಲ್ಲಿ ಏನೋ ಇಟ್ಟುಕೊಂಡಿದ್ದಾಳೆ.
There's nothing in the bucket.	ಬಾದಲಿಯಲ್ಲಿ ಇಲ್ಲ. ಇಲ್ಲ.
This room looks like a pigsty.	ಈ ಕೊಠಡಿ ಹಂದಿಮನೆ ಇದೆ. ಇದೆ.
We should call off the call	ಹುಡುಕಾಟವನ್ನು ಹುಡುಕಾಟವನ್ನು ರದ್ಧುಗೊಳಿಸಬೇಕು.
Give my regards to my family.	ನಿಮ್ಮ ಕುಟುಂಬಕ್ಕೆ ನನ್ನ ಪರವಾಗಿ ಶುಭಾಕಾಂಕ್ಷೆಗಳನ್ನು ಪರವಾಗಿ
know don't know what came over me.	ನನಗೆ ಏನಾಯಿತು ಗೊತ್ತಿಲ್ಲ. ನನಗೇನೆ ಗೊತ್ತಿಲ್ಲ.
Do you think it means something?	ಇದೆ ಅರ್ಥ ಇದೆ ಎಂದು ನಿಮಗೆ ಅನಿಸುತ್ತಾ?
I'm glad you guys could make you	ನೀವೆಲ್ಲ ಬಂದಿದ್ದು ಬಂದಿದ್ದು ತುಂಬಾ ಸಂತೋಷ.
I'm sorry I I'm your concert.	ಕ್ಷಮಿಸಿ ನಿಮ್ಮ ಕಛೇರಿಗೆ ಬರುವದಕ್ಕೆ ಆಗಲಿಲ್ಲ.
Some animals of afraid of fire.	ಬೆಂಕಿಗೆ ಪ್ರಾಣಿಗಳು ಬೆಂಕಿಗೆ ಹೆದರುತ್ತವೆ.
Tell us what Tell know about Tom.	ಟಾಮ್ ಬಗ್ಗೆ ಬಗ್ಗೆ ಗೊತ್ತೋ ನಮಗೆ ಹೇಳಿ.
window. stared sadly out the window.	ಟಾಮ್ ಕಿಟಕಿಯ ಹೊರಗೆ ದುಃಖದಿಂದ ದುಃಖದಿಂದ
you you suggest another solution?	ಪರಿಹಾರವನ್ನು ಪರಿಹಾರವನ್ನು ಸುಚಿಸುತ್ತೀರಾ?
Don't out to put out the fire.	ಬೆಂಕಿಯನ್ನು ನಂದಿಸುವುದಕ್ಕೆ ಮರೆಯಬೇಡಿ.
I have enough money to buy a car.	ನನಗೆ ಕಾರನ್ನು ಖರೀದಿಸುವುದಕ್ಕೆ ಸಾಕಷ್ಟು ಖರೀದಿಸುವುದಕ್ಕೆ
I wondered the same thing myself.	ಅದೇ ಪ್ರಶ್ನೆ ನನ್ನನ್ನೇ ನನ್ನನ್ನೇ
Do you want to leave it to that?	ನಿಮಗೆ ಅದನ್ನು ಹಂಗೇ ಬಿಡಬೇಕಾ?
He arrived at the station at five.	ಅವನು ಠಾಣೆಗೆ ಐದು ಗಂಟೆಗೆ ತಲುಪಿದ.
I I the food was too greasy.	ಆಹಾರಕ್ಕೆ ತುಂಬಾ ಎಣ್ಣೆ ಇತ್ತು ಎಣ್ಣೆ ಅನಿಸಿತು.
It's my that that you were fired.	ನಿನ್ನನ್ನು ಕೆಲಸದಿಂದ ತೆಗೆದಿರುವುದಕ್ಕೆ ಕೆಲಸದಿಂದ ಕರಣ ಮತ್ತು ನಂದೇ ತಪ್ಪು.
Put it back where you got it from.	ಇದನ್ನು ಎಲ್ಲಿ ಸಿಕ್ಕಿತ್ತೋ ಅಲ್ಲೇ ಇಡು.
She treats me as if I were She baby.	ನನ್ನನ್ನು ನನ್ನನ್ನು ತರಹ ಪರಿಗಣಿಸುತ್ತಾಳೆ.
The accident caused traffic traffic jam.	ಅಪಘಾತದ ಕಾರಣದಿಂದ ಸ್ತಂಭನ ಸ್ತಂಭನ ಇತ್ತು.
These are Tom's Tom's not mine.	ಕನ್ನಡಕ, ಟಾಮಿನ ಕನ್ನಡಕ, ನನ್ನದಿಲ್ಲ.
To be honest, I really don't know.	ಪ್ರಾಮಾಣಿಕವಾಗಿ ಹೇಳಬೇಕೆಂದರೆ, ನಾನು ಗೊತ್ತಿಲ್ಲ
Tom won't be killing anybody else.	ಟಾಮ್ ಕೊಲ್ಲಲ್ಲ. ಕೊಲ್ಲಲ್ಲ.
car? you mind my moving your car?	ನಿಮಗೆ ನಿಮಗೆ ಇಲ್ಲವೆಂದರೆ ನಿಮ್ಮ ಕಾರನ್ನು ಜರಗಿಸುತ್ತೀರಾ?
Are you finished reading the paper?	ನೀವು ಪತ್ರಿಕೆಯನ್ನು ಮುಗಿಸಿದ್ದೀರಾ? ಮುಗಿಸಿದ್ದೀರಾ?
new bought his daughter a new dress.	ಅವನು ಅವನ ಮಗಳಿಗೆ ಹೊಸ ಬಟ್ಟೆಯನ್ನು ಖರೀದಿಸಿದನು.
Isn't that what we should that doing?	ಅದೇ ನಾವು ಅಲ್ಲವ? ಅಲ್ಲವ?
You be be in two places at once.	ನಿಮಗೆ ಇರುವುದಕ್ಕೆ ಬಾರಿ ಎರಡು ಜಾಗದಲ್ಲಿ ಇರುವುದಕ್ಕೆ ಆಗಲ್ಲ.
Are you sure we've Are met before?	ನಾವು ಮುಂಚೆ ಎಂದಿಗೂ ಹೇಳುತ್ತೀರಾ? ಖಚಿತವಾಗಿ ಹೇಳುತ್ತೀರಾ?
Do you know what Tom's know name is?	ಟಮಿನ ಉಪನಾಮ ಏನು ಅಂತ ನಿಮಗೆ ಗೊತ್ತ?
I didn't know that I spoke French.	ನನಗೆ ಟಾಮ್ ಫ್ರೆಂಚ್ ಮಾತಾಡುತ್ತಾನೆ ಅಂತ ಗೊತ್ತೇ ಇರಲಿಲ್ಲ.
I just want to say that I want wrong.	ನಾನು ತಪ್ಪು ಮಾಡಿದೆ ಎಂದು ನಾನು
I no longer feel that longer about you.	ನಾನು ನಿನನ್ನು ಇನ್ನು ಮುಂದೆ ಅದೇ ಇನ್ನು ಭಾವಿಸುವುದಿಲ್ಲ.
Let's hope we have have to do that.	ಅದನ್ನು ಎಂದಿಗೂ ಮಾಡಬೇಡವೆಂದು ನಂಬೋಣ.
The couple posed for the photograph.	ಫೋಟೋಗೆ ಇಬ್ಬರು ಫೋಟೋಗೆ ನಿಲ್ಲಿದರು.
What could possibly have gone have	ತಪ್ಪು ಆಗುವುದಕ್ಕೆ ಹೇಗೆ ಸಾಧ್ಯ?
When does Tom usually go to the gym?	ಟಾಮ್ ಸಾಮಾನ್ಯವಾಗಿ ಯಾವಾಗ ಜಿಮ್ಮಿಗೆ ಸಾಮಾನ್ಯವಾಗಿ
I can tell tell is difficult for you.	ಇದು ನಿಮಗೆ ನಿಮಗೆ ಎಂದು ನನಗೆ ತಿಳಿದು ಬರುತ್ತದೆ.
I made sure one no one was watching.	ನೋಡುತ್ತಿರಲಿಲ್ಲವೆಂದು ನೋಡುತ್ತಿರಲಿಲ್ಲವೆಂದು ನಾನು ಖಚಿತಪಡಿಸಿಕೊಂಡೆ.
It cost twice as much as we expected.	ನಾವು ಅದಕ್ಕಿಂತ ನಿರೀಕ್ಷಿಸುತ್ತಾ ಇದ್ದವೋ ಅದಕ್ಕಿಂತ ಎರಡರಷ್ಟು ಬೆಲೆ ಆಯಿತು.
tried tried to get whatever she wanted.	ಏನೆಲ್ಲಾ ಅದನ್ನು ಬೇಕಿತ್ತೋ ಅದನ್ನು ಖರೀದಿಸುವುದಕ್ಕೆ ಪ್ರಯತ್ನಿಸಿದಳು.
She be be relocated to New Zealand.	ಅವಳನ್ನು ನ್ಯೂ ಸ್ಥಳಾಂತರಿಸುತ್ತಾರೆ. ಸ್ಥಳಾಂತರಿಸುತ್ತಾರೆ.
The cause of accident accident is unknown.	ಅಪಘಾತದ ಕಾರಣವೇ ಗೊತ್ತಿಲ್ಲ.
more story got more and more exciting.	ಆ ಕಥೆ ಆ ಹೆಚ್ಚು ಅದ್ಭುತವಾಯಿತು.
engagement. have announced their engagement.	ಅವರು ಅವರ ಪ್ರಕಟಿಸಿದ್ದಾರೆ. ಪ್ರಕಟಿಸಿದ್ದಾರೆ.
I don't know how I can ever thank you.	ನಿಮಗೆ ಹೇಗೆ ಧನ್ಯವಾದ ಹೇಳಕ್ಕೆ ಗೊತ್ತಾಗುತ್ತಾ ಇಲ್ಲ.
Maybe Tom Tom tell you everything.	ಬಹುಷಃ ಟಾಮ್ ಬಹುಷಃ ಎಲ್ಲದರ ಬಗ್ಗೆ ಹೇಳಲ್ಲ.
She was very bored during the She	ಪ್ರವಚನ ನಡೆಯುತ್ತಿರುವಾಗ ನನಗೆ ತುಂಬಾ ಬೇಸರವಾಗಿತ್ತು.
They failed to fulfill to conditions.	ಅವರು ನಿಯಮಗಳನ್ನು ನೇರವೇರಿಸುವುದಕ್ಕೆ ನೇರವೇರಿಸುವುದಕ್ಕೆ
You don't do I can do this, do you?	ನೀನು ಇದನ್ನು ಮಾಡಕ್ಕೆ ಆಗುವುದಿಲ್ಲವೆಂದು ನಂಬಿದ್ದೀಯಾ ನಂಬಿದ್ದೀಯಾ
He couldn't keep his He any longer.	ಜಾಸ್ತಿ ಹೊತ್ತು ಅವನಿಗೆ ಅವನ ಕೋಪ ತಡೆಯುವುದಕ್ಕೆ ಆಗಲಿಲ್ಲ.
Tom promised he help me, but he didn't.	ಟಾಮ್ ಕೊಡಲಿಲ್ಲ. ನೀಡುತ್ತಾನೆಂದು ನನಗೆ ಭರವಸೆ ಕೊಟ್ಟನು ಆದರೆ ಕೊಡಲಿಲ್ಲ.
It very likely likely going to be dangerous.	ಅಪಾಯ ಇರುವುದಕ್ಕೆ ಬಹಳ ಇರುವುದಕ್ಕೆ ಇದೆ.
Brazil declared declared on Argentina in 1825.	ಬ್ರಸಿಲು ಪ್ರಕಟಿಸಿದರು. ಮೇಲೆ ಯುದ್ಧವನ್ನು ಪ್ರಕಟಿಸಿದರು.
A great deal great happened since that time.	ಅಂದಿನಿಂದ ಬಹಳಷ್ಟು ಬಹಳಷ್ಟು ನಡೆದಿವೆ.
Where can dollars be be for pounds?	ಎಲ್ಲಿ ಡಾಲರ್ಗಳನ್ನು ಪೌಂಡ್ಸ್ಗೆ ಬದಲಾಯಿಸಬಹುದು?
A few firefighters firefighters minor injuries.	ಕೆಲವೊಂದು ಅಗ್ನಿಶಾಮಕರು ಗಾಯ ಅಗ್ನಿಶಾಮಕರು
I should've gotten earlier earlier this morning.	ನಾನು ಇವತ್ತು ಬೇಗ ಬೇಗ ಏಳಬೇಕಾಗಿತ್ತು.
My father in my brother work in this factory.	ನನ್ನ ಅಣ್ಣ ಹಾಗು ನನ್ನ ಅಣ್ಣ ಈ ಕಾರ್ಖಾನೆಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾರೆ.
to have to tell me exactly what I need to do.	ನಾನು ಏನನ್ನು ಮಾಡಬೇಕೆಂದು ಸರಿಯಾಗಿ ನಾನು ಹೇಳಬೇಕು.
I'll anything you know if I find anything interesting.	ಏನೋ ಆಕರ್ಷಕವಾಗಿದ್ದರೆ ನಾನು ನಿನಗೆ ತಿಳಿಸುತ್ತೇನೆ.
There are many new programs to watch this this	ಬರುವ ಹಲವರು ನೋಡುವುದಕ್ಕೆ ಹಲವರು ಕಾರ್ಯಕ್ರಮಗಳು ಇವೆ.
of took charge of the firm after his father's death.	ಅವನ ತಂದೆಯ ಮರಣಾನಂತರ ಅವನು ಸಂಸ್ಥೆಯ ಅಧಿಕಾರ ವಹಿಸಿಕೊಂಡಿದನು.
His trip will keep him away from the office office a week.	ಅವನ ಪಯಣ ಅವನನ್ನು ಆಫೀಸಿನಿಂದ ದೂರ ಆಫೀಸಿನಿಂದ
In order to stay drink I may have to drink more coffee.	ಎಚ್ಚರವಾಗಿರಲು ನಾನು ಇನ್ನು ಅಂತ ಕಾಫಿ ಕುಡಿಯಬೇಕು ಅಂತ ಅನಿಸುತ್ತೆ.
man caught sight of the man among the crowd of people.	ಅವರು ಕಂಡಿದರು. ನಡುವೆ ಅವನನ್ನು ಕಂಡಿದರು.
The only The you talk to me is when you need some money.	ಯಾವಾಗ ನಿನಗೆ ದುಡ್ಡು ಬೇಕಾದರೆ ಮಾತ್ರ ನೀನು ನನ್ನ ಜೊತೆ ದುಡ್ಡು
Go to the of cellar and get a couple of bottles of wine.	ಸರಾಯಿ ನೆಲಮಾಳಿಗೆಗೆ ಹೋಗಿ ಎರಡು ಬಾಟಲಿ ವೈನು ತೆಗೆದುಕೊಂಡು ಬನ್ನಿ.
It was because he was sick that he decided to return was	ಮನಗೆ ಹುಷಾರು ಇರಲಿಲ್ಲ ಅಂತ ಅವನು ಮನಗೆ ವಾಪಸ್ಸು ಬರವುದಕ್ಕೆ ನಿರ್ದರಿಸಿದ.
Both my father and I went to the museum for the first time.	ನಾನು ಮತ್ತು ನನ್ನ ತಂದೆ ಮೊದಲ ಬಾರಿಗೆ ಸಂಗ್ರಾಲಯಕ್ಕೆ ಮೊದಲ
You gotten gotten away with it if Tom hadn't told on you.	ಒಂದು ವೇಳೆ ಟಾಮ್ ನಿನ್ನ ಬಗ್ಗೆ ಹೇಳಲಿಲ್ಲವೆಂದರೆ ಒಂದು
time time you want to borrow my car, all you have to do is ask.	ಯಾವಾಗಲಾದರು ನೀವು ನನ್ನ ಕಾರನ್ನು ಬೇಕೆಂದರೆ, ನೀವು ಕೇಳಿ.
I forgot taught was the one who taught you how to play the guitar.	ಟಾಮ್ ನಿಮಗೆ ನಿಮಗೆ ಭಾರಿಸುವುದಕ್ಕೆ ಹೇಳಿಕೊಟ್ಟನೆಂದು ನನಗೆ ಮರೆತುಹೋಯಿತು.
